# iy iz iroll Y Z Roll candidate quality q0 q1 q2 q3 q4 q5 mode
0 7 1 -0.75000000 0.26111100 -0.59444400 -1 1.55664132 0.40000000 0.00000000 -0.11769742 2.09082342 0.35539900 0.00000000 0
0 7 2 -0.75000000 0.26111100 -0.38888900 -1 1.49882886 0.60000000 -0.00000000 0.30388076 1.27146041 1.15677000 0.00000000 0
0 7 3 -0.75000000 0.26111100 -0.18333300 -1 1.59396516 0.90000000 -0.00000001 0.18076326 1.58023890 0.48445700 0.00000000 0
0 7 4 -0.75000000 0.26111100 0.02222220 -1 1.45307563 0.70000000 -0.00000000 0.18286541 1.50607302 -1.62558000 0.00000000 0
0 7 5 -0.75000000 0.26111100 0.22777800 -1 1.26013885 0.80000000 -0.00000000 0.19362080 1.07706336 0.78177600 0.00000000 0
0 7 6 -0.75000000 0.26111100 0.43333300 -1 1.35086750 0.90000000 -0.00000000 0.14338365 0.96148304 0.32412300 0.00000000 0
0 7 7 -0.75000000 0.26111100 0.63888900 -1 1.27751282 1.00000000 -0.00000000 0.05967544 0.93760282 0.05367640 0.00000000 0
0 7 8 -0.75000000 0.26111100 0.84444400 -1 1.20860911 1.00000000 -0.00000000 -0.05031766 0.85323194 0.25149800 0.00000000 0
0 7 9 -0.75000000 0.26111100 1.05000000 -1 1.05564044 1.00000000 -0.00000000 -0.08330461 0.80861168 -1.03266000 0.00000000 0
0 8 0 -0.75000000 0.30555600 -0.80000000 -1 1.34147860 0.40000000 -0.00000000 -0.06152563 2.10710754 1.07779000 0.00000000 0
0 8 1 -0.75000000 0.30555600 -0.59444400 -1 1.56534240 0.50000000 -0.00000000 0.39769236 1.24328599 -0.26705600 0.00000000 0
0 8 2 -0.75000000 0.30555600 -0.38888900 -1 1.51063012 0.50000000 -0.00000000 -0.07129676 1.95563827 1.61408000 0.00000000 0
0 8 3 -0.75000000 0.30555600 -0.18333300 -1 1.55054635 0.70000000 -0.00000000 -0.05230053 1.84963405 -1.33981000 0.00000000 0
0 8 4 -0.75000000 0.30555600 0.02222220 -1 1.37373107 0.70000000 -0.00000000 -0.04930568 1.79968715 0.20620300 0.00000000 0
0 8 5 -0.75000000 0.30555600 0.22777800 -1 1.20970479 0.80000000 -0.00000000 0.16820128 0.97507491 0.51318200 0.00000000 0
0 8 6 -0.75000000 0.30555600 0.43333300 -1 1.31381300 0.90000000 -0.00000000 0.14442025 0.95497331 1.65082000 0.00000000 0
0 8 7 -0.75000000 0.30555600 0.63888900 -1 1.22892578 0.90000000 -0.00000001 0.06938864 0.93976206 1.50373000 0.00000000 0
0 8 8 -0.75000000 0.30555600 0.84444400 -1 1.16867903 1.00000000 -0.00000000 -0.03807758 0.88572017 0.87818200 0.00000000 0
0 8 9 -0.75000000 0.30555600 1.05000000 -1 1.03176173 1.00000000 -0.00000000 -0.06783757 0.83110825 -0.66208900 0.00000000 0
0 9 0 -0.75000000 0.35000000 -0.80000000 -1 1.06623391 0.20000000 -0.00000000 0.44545878 1.25228004 1.09500000 0.00000000 0
0 9 1 -0.75000000 0.35000000 -0.59444400 -1 1.22685761 0.30000000 -0.00000000 0.41012958 1.24333116 0.29484500 0.00000000 0
0 9 2 -0.75000000 0.35000000 -0.38888900 -1 1.30021351 0.40000000 0.00000000 -0.06641286 1.94182659 0.84320400 0.00000000 0
0 9 3 -0.75000000 0.35000000 -0.18333300 -1 1.36924714 0.60000000 -0.00000000 -0.08685899 1.87627714 1.03395000 0.00000000 0
0 9 4 -0.75000000 0.35000000 0.02222220 -1 1.22635327 0.80000000 -0.00000000 -0.12359476 1.84979137 0.77356300 0.00000000 0
0 9 5 -0.75000000 0.35000000 0.22777800 -1 0.99609143 0.80000000 -0.00000000 -0.28471342 1.84317859 -0.76039300 0.00000000 0
0 9 6 -0.75000000 0.35000000 0.43333300 -1 0.96640170 0.80000000 -0.00000000 0.14231020 0.94410039 0.14611800 0.00000000 0
0 9 7 -0.75000000 0.35000000 0.63888900 -1 0.94265707 0.90000000 -0.00000000 -0.61786758 2.05686422 -1.66716000 0.00000000 0
0 9 8 -0.75000000 0.35000000 0.84444400 -1 0.85956198 0.90000000 -0.00000000 -0.03343193 0.90045573 0.14215700 0.00000000 0
0 9 9 -0.75000000 0.35000000 1.05000000 -1 0.76755664 0.90000000 -0.00000001 -0.05588153 0.85097379 0.54592400 0.00000000 0
